"sensor_id","pm25","co2_ppm","ts"
"SEN-0000",22.623,415.728,2026-01-01 00:00:00.000000Z
"SEN-0000",25.057,370.171,2026-01-01 00:15:00.000000Z
"SEN-0000",24.409,369.753,2026-01-01 00:30:00.000000Z
"SEN-0000",23.003,356.25,2026-01-01 00:45:00.000000Z
"SEN-0000",20.679,382.774,2026-01-01 01:00:00.000000Z
"SEN-0000",20.856,381.247,2026-01-01 01:15:00.000000Z
"SEN-0000",21.889,396.111,2026-01-01 01:30:00.000000Z
"SEN-0000",20.116,395.592,2026-01-01 01:45:00.000000Z
"SEN-0000",22.506,376.221,2026-01-01 02:00:00.000000Z
"SEN-0000",20.659,372.987,2026-01-01 02:15:00.000000Z
"SEN-0000",19.055,393.294,2026-01-01 02:30:00.000000Z
"SEN-0000",22.512,404.997,2026-01-01 02:45:00.000000Z
"SEN-0000",23.06,364.468,2026-01-01 03:00:00.000000Z
"SEN-0000",20.722,408.487,2026-01-01 03:15:00.000000Z
"SEN-0000",21.318,388.196,2026-01-01 03:30:00.000000Z
"SEN-0000",20.787,372.633,2026-01-01 03:45:00.000000Z
"SEN-0000",25.507,407.402,2026-01-01 04:00:00.000000Z
"SEN-0000",22.128,388.437,2026-01-01 04:15:00.000000Z
"SEN-0000",22.936,420.594,2026-01-01 04:30:00.000000Z
"SEN-0000",23.364,397.584,2026-01-01 04:45:00.000000Z
"SEN-0000",28.124,416.027,2026-01-01 05:00:00.000000Z
"SEN-0000",22.169,423.904,2026-01-01 05:15:00.000000Z
"SEN-0000",24.301,427.866,2026-01-01 05:30:00.000000Z
"SEN-0000",24.744,461.256,2026-01-01 05:45:00.000000Z
"SEN-0000",25.899,469.513,2026-01-01 06:00:00.000000Z
"SEN-0000",22.119,470.22,2026-01-01 06:15:00.000000Z
"SEN-0000",27.835,505.984,2026-01-01 06:30:00.000000Z
"SEN-0000",30.193,461.804,2026-01-01 06:45:00.000000Z
"SEN-0000",26.175,476.167,2026-01-01 07:00:00.000000Z
"SEN-0000",30.385,498.387,2026-01-01 07:15:00.000000Z
"SEN-0000",27.995,508.418,2026-01-01 07:30:00.000000Z
"SEN-0000",30.188,556.098,2026-01-01 07:45:00.000000Z
"SEN-0000",34.572,531.413,2026-01-01 08:00:00.000000Z
"SEN-0000",30.924,552.807,2026-01-01 08:15:00.000000Z
"SEN-0000",35.956,558.781,2026-01-01 08:30:00.000000Z
"SEN-0000",34.753,564.788,2026-01-01 08:45:00.000000Z
"SEN-0000",37.316,593.826,2026-01-01 09:00:00.000000Z
"SEN-0000",33.206,589.992,2026-01-01 09:15:00.000000Z
"SEN-0000",31.376,598.898,2026-01-01 09:30:00.000000Z
"SEN-0000",32.95,597.502,2026-01-01 09:45:00.000000Z
"SEN-0000",34.128,657.35,2026-01-01 10:00:00.000000Z
"SEN-0000",32.246,586.742,2026-01-01 10:15:00.000000Z
"SEN-0000",37.841,632.257,2026-01-01 10:30:00.000000Z
"SEN-0000",38.345,661.258,2026-01-01 10:45:00.000000Z
"SEN-0000",35.206,669.387,2026-01-01 11:00:00.000000Z
"SEN-0000",36.12,638.209,2026-01-01 11:15:00.000000Z
"SEN-0000",39.171,675.101,2026-01-01 11:30:00.000000Z
"SEN-0000",35.072,645.523,2026-01-01 11:45:00.000000Z
"SEN-0000",36.358,668.514,2026-01-01 12:00:00.000000Z
"SEN-0000",36.853,654.624,2026-01-01 12:15:00.000000Z
"SEN-0000",38.217,708.835,2026-01-01 12:30:00.000000Z
"SEN-0000",41.126,730.901,2026-01-01 12:45:00.000000Z
"SEN-0000",36.409,687.781,2026-01-01 13:00:00.000000Z
"SEN-0000",37.658,706.322,2026-01-01 13:15:00.000000Z
"SEN-0000",37.393,679.547,2026-01-01 13:30:00.000000Z
"SEN-0000",39.415,725.999,2026-01-01 13:45:00.000000Z
"SEN-0000",43.858,697.611,2026-01-01 14:00:00.000000Z
"SEN-0000",36.648,677.112,2026-01-01 14:15:00.000000Z
"SEN-0000",39.438,701.019,2026-01-01 14:30:00.000000Z
"SEN-0000",36.72,696.988,2026-01-01 14:45:00.000000Z
"SEN-0000",36.667,703.815,2026-01-01 15:00:00.000000Z
"SEN-0000",35.803,714.734,2026-01-01 15:15:00.000000Z
"SEN-0000",36.814,693.376,2026-01-01 15:30:00.000000Z
"SEN-0000",37.624,668.817,2026-01-01 15:45:00.000000Z
"SEN-0000",38.91,669.844,2026-01-01 16:00:00.000000Z
"SEN-0000",36.411,665.691,2026-01-01 16:15:00.000000Z
"SEN-0000",38.699,688.601,2026-01-01 16:30:00.000000Z
"SEN-0000",36.497,633.593,2026-01-01 16:45:00.000000Z
"SEN-0000",37.159,656.624,2026-01-01 17:00:00.000000Z
"SEN-0000",37.871,669.228,2026-01-01 17:15:00.000000Z
"SEN-0000",32.752,626.564,2026-01-01 17:30:00.000000Z
"SEN-0000",36.749,634.376,2026-01-01 17:45:00.000000Z
"SEN-0000",34.138,606.172,2026-01-01 18:00:00.000000Z
"SEN-0000",31.694,608.026,2026-01-01 18:15:00.000000Z
"SEN-0000",35.963,614.904,2026-01-01 18:30:00.000000Z
"SEN-0000",30.377,554.487,2026-01-01 18:45:00.000000Z
"SEN-0000",33.214,572.868,2026-01-01 19:00:00.000000Z
"SEN-0000",34.002,577.569,2026-01-01 19:15:00.000000Z
"SEN-0000",28.513,569.081,2026-01-01 19:30:00.000000Z
"SEN-0000",36.371,531.163,2026-01-01 19:45:00.000000Z
"SEN-0000",30.402,547.497,2026-01-01 20:00:00.000000Z
"SEN-0000",33.201,519.9,2026-01-01 20:15:00.000000Z
"SEN-0000",28.084,546.962,2026-01-01 20:30:00.000000Z
"SEN-0000",25.74,470.37,2026-01-01 20:45:00.000000Z
"SEN-0000",27.248,473.605,2026-01-01 21:00:00.000000Z
"SEN-0000",27.308,489.909,2026-01-01 21:15:00.000000Z
"SEN-0000",28.616,442.65,2026-01-01 21:30:00.000000Z
"SEN-0000",25.115,464.588,2026-01-01 21:45:00.000000Z
"SEN-0000",21.49,481.681,2026-01-01 22:00:00.000000Z
"SEN-0000",21.727,457.243,2026-01-01 22:15:00.000000Z
"SEN-0000",23.505,427.401,2026-01-01 22:30:00.000000Z
"SEN-0000",21.767,432.251,2026-01-01 22:45:00.000000Z
"SEN-0000",21.786,424.107,2026-01-01 23:00:00.000000Z
"SEN-0000",20.3,404.442,2026-01-01 23:15:00.000000Z
"SEN-0000",22.087,411.843,2026-01-01 23:30:00.000000Z
"SEN-0000",21.288,375.121,2026-01-01 23:45:00.000000Z
"SEN-0001",24.187,353.974,2026-01-01 00:00:00.000000Z
"SEN-0001",21.486,332.891,2026-01-01 00:15:00.000000Z
"SEN-0001",24.083,352.037,2026-01-01 00:30:00.000000Z
"SEN-0001",25.655,304.585,2026-01-01 00:45:00.000000Z
"SEN-0001",27.196,347.637,2026-01-01 01:00:00.000000Z
"SEN-0001",26.734,318.209,2026-01-01 01:15:00.000000Z
"SEN-0001",24.653,314.804,2026-01-01 01:30:00.000000Z
"SEN-0001",22.923,331.562,2026-01-01 01:45:00.000000Z
"SEN-0001",23.239,323.088,2026-01-01 02:00:00.000000Z
"SEN-0001",27.216,306.261,2026-01-01 02:15:00.000000Z
"SEN-0001",21.509,362.135,2026-01-01 02:30:00.000000Z
"SEN-0001",21.779,339.421,2026-01-01 02:45:00.000000Z
"SEN-0001",23.447,303.573,2026-01-01 03:00:00.000000Z
"SEN-0001",25.628,334.768,2026-01-01 03:15:00.000000Z
"SEN-0001",23.304,366.422,2026-01-01 03:30:00.000000Z
"SEN-0001",24.215,318.007,2026-01-01 03:45:00.000000Z
"SEN-0001",22.921,342.529,2026-01-01 04:00:00.000000Z
"SEN-0001",28.813,330.258,2026-01-01 04:15:00.000000Z
"SEN-0001",21.86,345.233,2026-01-01 04:30:00.000000Z
"SEN-0001",24.87,345.664,2026-01-01 04:45:00.000000Z
"SEN-0001",26.756,360.176,2026-01-01 05:00:00.000000Z
"SEN-0001",30.644,376.884,2026-01-01 05:15:00.000000Z
"SEN-0001",23.639,360.639,2026-01-01 05:30:00.000000Z
"SEN-0001",30.707,382.548,2026-01-01 05:45:00.000000Z
"SEN-0001",32.038,377.833,2026-01-01 06:00:00.000000Z
"SEN-0001",31.092,406.981,2026-01-01 06:15:00.000000Z
"SEN-0001",31.652,395.58,2026-01-01 06:30:00.000000Z
"SEN-0001",28.714,416.443,2026-01-01 06:45:00.000000Z
"SEN-0001",31.26,421.593,2026-01-01 07:00:00.000000Z
"SEN-0001",28.419,452.241,2026-01-01 07:15:00.000000Z
"SEN-0001",33.796,430.11,2026-01-01 07:30:00.000000Z
"SEN-0001",35.893,456.901,2026-01-01 07:45:00.000000Z
"SEN-0001",32.224,427.746,2026-01-01 08:00:00.000000Z
"SEN-0001",36.638,433.923,2026-01-01 08:15:00.000000Z
"SEN-0001",36.917,527.768,2026-01-01 08:30:00.000000Z
"SEN-0001",33.189,477.02,2026-01-01 08:45:00.000000Z
"SEN-0001",37.564,518.493,2026-01-01 09:00:00.000000Z
"SEN-0001",40.263,503.474,2026-01-01 09:15:00.000000Z
