"account_id","month","balance","days_past_due"
"ACC-0000002",2025-01-01,16387.26,0
"ACC-0000002",2025-02-01,15446.12,0
"ACC-0000002",2025-03-01,14231.93,0
"ACC-0000002",2025-04-01,12938.46,0
"ACC-0000002",2025-05-01,12063.35,0
"ACC-0000002",2025-06-01,10618.74,0
"ACC-0000002",2025-07-01,9528.91,0
"ACC-0000002",2025-08-01,8038.6,0
"ACC-0000002",2025-09-01,7016.83,0
"ACC-0000002",2025-10-01,5486.28,0
"ACC-0000002",2025-11-01,4336.37,0
"ACC-0000002",2025-12-01,3421.86,0
"ACC-0000003",2025-01-01,48095.6,0
"ACC-0000003",2025-02-01,43514.99,0
"ACC-0000003",2025-03-01,40761.64,0
"ACC-0000003",2025-04-01,37443.67,0
"ACC-0000003",2025-05-01,34118.37,0
"ACC-0000003",2025-06-01,31359.96,0
"ACC-0000003",2025-07-01,27227.99,0
"ACC-0000003",2025-08-01,23173.57,0
"ACC-0000003",2025-09-01,19483.1,0
"ACC-0000003",2025-10-01,15438.61,0
"ACC-0000003",2025-11-01,10960.8,0
"ACC-0000003",2025-12-01,6186.35,0
"ACC-0000004",2025-01-01,4054.79,0
"ACC-0000004",2025-02-01,3876.04,0
"ACC-0000004",2025-03-01,3689.54,0
"ACC-0000004",2025-04-01,3471.62,0
"ACC-0000004",2025-05-01,3270.6,0
"ACC-0000004",2025-06-01,3113.75,0
"ACC-0000004",2025-07-01,2888.4,0
"ACC-0000004",2025-08-01,2613.98,0
"ACC-0000004",2025-09-01,2427.39,0
"ACC-0000004",2025-10-01,2208.99,0
"ACC-0000004",2025-11-01,2003.15,0
"ACC-0000004",2025-12-01,1805.61,0
"ACC-0000005",2025-01-01,6889.32,0
"ACC-0000005",2025-02-01,6531.4,0
"ACC-0000005",2025-03-01,5978.84,0
"ACC-0000005",2025-04-01,5579.08,0
"ACC-0000005",2025-05-01,5248.17,0
"ACC-0000005",2025-06-01,4769.85,0
"ACC-0000005",2025-07-01,4402.28,0
"ACC-0000005",2025-08-01,3896.19,0
"ACC-0000005",2025-09-01,3546.27,0
"ACC-0000005",2025-10-01,3142.09,0
"ACC-0000005",2025-11-01,2609.36,0
"ACC-0000005",2025-12-01,2252.07,0
"ACC-0000006",2025-01-01,24225.84,0
"ACC-0000006",2025-02-01,22674.18,0
"ACC-0000006",2025-03-01,21550.77,0
"ACC-0000006",2025-04-01,20019.06,0
"ACC-0000006",2025-05-01,18761.34,0
"ACC-0000006",2025-06-01,17664.01,0
"ACC-0000006",2025-07-01,15928.54,0
"ACC-0000006",2025-08-01,14871.72,0
"ACC-0000006",2025-09-01,13656.99,0
"ACC-0000006",2025-10-01,12494.75,0
"ACC-0000006",2025-11-01,11517.37,0
"ACC-0000006",2025-12-01,9780.21,0
"ACC-0000008",2025-01-01,27753.09,0
"ACC-0000008",2025-02-01,25647.48,0
"ACC-0000008",2025-03-01,23711.11,0
"ACC-0000008",2025-04-01,22099.21,0
"ACC-0000008",2025-05-01,20579.16,0
"ACC-0000008",2025-06-01,18871.35,0
"ACC-0000008",2025-07-01,16893.23,0
"ACC-0000008",2025-08-01,15219.37,0
"ACC-0000008",2025-09-01,13709.63,0
"ACC-0000008",2025-10-01,11932.76,0
"ACC-0000008",2025-11-01,10145.02,0
"ACC-0000008",2025-12-01,8222.1,0
"ACC-0000010",2025-01-01,36123.87,0
"ACC-0000010",2025-02-01,34304.66,0
"ACC-0000010",2025-03-01,31495.45,0
"ACC-0000010",2025-04-01,28501.83,0
"ACC-0000010",2025-05-01,25849.8,0
"ACC-0000010",2025-06-01,23526.18,0
"ACC-0000010",2025-07-01,21118.21,0
"ACC-0000010",2025-08-01,18943.49,0
"ACC-0000010",2025-09-01,16126.45,0
"ACC-0000010",2025-10-01,14014.18,0
"ACC-0000010",2025-11-01,12198.55,0
"ACC-0000010",2025-12-01,9360.95,0
"ACC-0000013",2025-01-01,8335.11,0
"ACC-0000013",2025-02-01,7758.94,0
"ACC-0000013",2025-03-01,7170.09,0
"ACC-0000013",2025-04-01,6551.04,0
"ACC-0000013",2025-05-01,5787.4,0
"ACC-0000013",2025-06-01,4984.96,0
"ACC-0000013",2025-07-01,4324.76,0
"ACC-0000013",2025-08-01,3791.44,0
"ACC-0000013",2025-09-01,3124.02,0
"ACC-0000013",2025-10-01,2530.01,0
"ACC-0000013",2025-11-01,2056.62,0
"ACC-0000013",2025-12-01,1442.98,0
"ACC-0000014",2025-01-01,23261.75,0
"ACC-0000014",2025-02-01,22170.26,0
"ACC-0000014",2025-03-01,20866.68,0
"ACC-0000014",2025-04-01,19252.16,0
"ACC-0000014",2025-05-01,18177.17,0
"ACC-0000014",2025-06-01,16656.93,0
"ACC-0000014",2025-07-01,15196.59,0
"ACC-0000014",2025-08-01,13812.99,0
"ACC-0000014",2025-09-01,11902.56,0
"ACC-0000014",2025-10-01,10855,0
"ACC-0000014",2025-11-01,9795.27,0
"ACC-0000014",2025-12-01,8433.23,0
"ACC-0000019",2025-01-01,6687.7,0
"ACC-0000019",2025-02-01,6367.28,0
"ACC-0000019",2025-03-01,6045.48,0
"ACC-0000019",2025-04-01,5540.27,0
"ACC-0000019",2025-05-01,5211.75,0
"ACC-0000019",2025-06-01,4697.17,0
"ACC-0000019",2025-07-01,4256.44,0
"ACC-0000019",2025-08-01,3807.02,0
